text,label
"У нас уже неделю нет горячей воды, это просто невозможно! Очень прошу разобраться поскорее.",жалоба_ЖКХ
Сколько можно терпеть отключения электричества в доме? Жильцы возмущены сложившейся ситуацией.,жалоба_ЖКХ
"У нас уже неделю нет горячей воды, это просто невозможно! Очень прошу разобраться поскорее.",жалоба_ЖКХ
Сколько можно терпеть отключения электричества в доме? Очень прошу разобраться поскорее.,жалоба_ЖКХ
"Сколько можно терпеть отключения электричества в доме? Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Спасибо заранее за понимание.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Пишу уже не в первый раз.",жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
"Сколько можно терпеть отключения электричества в доме? Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
Сколько можно терпеть отключения электричества в доме? Пишу уже не в первый раз.,жалоба_ЖКХ
"У нас уже неделю нет горячей воды, это просто невозможно! Очень прошу разобраться поскорее.",жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Очень прошу разобраться поскорее.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"У нас уже неделю нет горячей воды, это просто невозможно! Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Пишу уже не в первый раз.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"С потолка в подъезде течёт вода, а управляющая компания молчит. Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Очень прошу разобраться поскорее.",жалоба_ЖКХ
"Сколько можно терпеть отключения электричества в доме? Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
"У нас уже неделю нет горячей воды, это просто невозможно! Надеюсь, вы обратите внимание на эту проблему.",жалоба_ЖКХ
Сколько можно терпеть отключения электричества в доме? Жильцы возмущены сложившейся ситуацией.,жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Спасибо заранее за понимание.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
"В подвале воняет канализацией, прошу принять меры. Спасибо заранее за понимание.",жалоба_ЖКХ
Сколько можно терпеть отключения электричества в доме? Очень прошу разобраться поскорее.,жалоба_ЖКХ
"Почему батареи еле тёплые, на улице минус десять? Жильцы возмущены сложившейся ситуацией.",жалоба_ЖКХ
