text,label
"Предлагаю сделать велодорожку вдоль главной улицы, там постоянно ездят велосипедисты.",предложение
Стоит добавить больше контейнеров для раздельного сбора мусора.,предложение
Прошу назначить дату приёма в администрации для подачи заявления.,запрос услуги
"Было бы удобно, если бы расписание автобусов отображалось онлайн.",предложение
Как получить льготу на оплату коммунальных услуг?,вопрос
Можно добавить больше освещения вдоль парка — вечерами там слишком темно.,предложение
"В подъезде постоянно стоит неприятный запах, похоже, не проводится уборка.",жалоба
Прошу принять меры — мусор не вывозят уже третью неделю.,жалоба
Когда планируется включение отопления в нашем районе?,вопрос
Прошу принять меры — мусор не вывозят уже третью неделю.,жалоба
Какие документы нужны для оформления детского пособия?,вопрос
Где можно получить справку о регистрации по месту жительства?,вопрос
Как получить льготу на оплату коммунальных услуг?,вопрос
Предлагаю оборудовать пандусы в старых домах — многим жителям это нужно.,предложение
Никак не починят освещение на улице — вечерами очень темно и опасно.,жалоба
Можно добавить больше освещения вдоль парка — вечерами там слишком темно.,предложение
Стоит добавить больше контейнеров для раздельного сбора мусора.,предложение
Прошу оформить справку о составе семьи для предоставления в школу.,запрос услуги
"Подскажите, пожалуйста, как записаться к врачу через портал госуслуг?",вопрос
Как получить льготу на оплату коммунальных услуг?,вопрос
Когда планируется включение отопления в нашем районе?,вопрос
"Как пожаловаться, если управляющая компания не отвечает?",вопрос
Где можно уточнить расписание приёма в администрации?,вопрос
Стоит добавить больше контейнеров для раздельного сбора мусора.,предложение
Можно ли подать заявление на ремонт подъезда онлайн?,вопрос
"Как пожаловаться, если управляющая компания не отвечает?",вопрос
"Каждое утро на остановке огромные очереди, автобусы ходят с перебоями.",жалоба
Какие документы нужны для оформления детского пособия?,вопрос
"Хочу оформить пособие по уходу за ребёнком, прошу разъяснить порядок.",запрос услуги
Необходимо оформить выписку из домовой книги по адресу проживания.,запрос услуги
Необходимо оформить заявление о предоставлении парковочного разрешения.,запрос услуги
Никак не починят освещение на улице — вечерами очень темно и опасно.,жалоба
"Предлагаю благоустроить заброшенный участок у дома, сделать небольшой сквер.",предложение
Предлагаю оборудовать пандусы в старых домах — многим жителям это нужно.,предложение
"Каждое утро на остановке огромные очереди, автобусы ходят с перебоями.",жалоба
Необходимо зарегистрировать новое место жительства по адресу квартиры.,запрос услуги
Какие документы нужны для оформления детского пособия?,вопрос
Хочу подать документы на получение субсидии на оплату коммунальных услуг.,запрос услуги
"В детском саду холодно, батареи еле тёплые, дети мёрзнут.",жалоба
Прошу зарегистрировать заявление о замене счётчика воды и направить специалиста.,запрос услуги
Стоит добавить больше контейнеров для раздельного сбора мусора.,предложение
"В подъезде постоянно стоит неприятный запах, похоже, не проводится уборка.",жалоба
"Как узнать, в какой день производится вывоз мусора?",вопрос
Стоит добавить больше контейнеров для раздельного сбора мусора.,предложение
Необходимо оформить выписку из домовой книги по адресу проживания.,запрос услуги
"Предлагаю благоустроить заброшенный участок у дома, сделать небольшой сквер.",предложение
Прошу принять меры — мусор не вывозят уже третью неделю.,жалоба
Было бы неплохо установить камеры видеонаблюдения в лифтах для безопасности.,предложение
"Во дворе разбиты дорожки, по ним невозможно пройти после дождя.",жалоба
"Подскажите, пожалуйста, как записаться к врачу через портал госуслуг?",вопрос
Прошу выдать справку о доходах за последний год.,запрос услуги
"Во дворе громко включают музыку ночью, никто не реагирует на жалобы жителей.",жалоба
Было бы неплохо установить камеры видеонаблюдения в лифтах для безопасности.,предложение
Прошу оформить справку о составе семьи для предоставления в школу.,запрос услуги
"Во дворе разбиты дорожки, по ним невозможно пройти после дождя.",жалоба
Где можно уточнить расписание приёма в администрации?,вопрос
"Скажите, куда обращаться, если не работает домофон?",вопрос
"Было бы удобно, если бы расписание автобусов отображалось онлайн.",предложение
"Во дворе разбиты дорожки, по ним невозможно пройти после дождя.",жалоба
Можно ли подать заявление на ремонт подъезда онлайн?,вопрос
Было бы здорово установить дополнительные скамейки возле школы — родители часто ждут детей стоя.,предложение
"Во дворе громко включают музыку ночью, никто не реагирует на жалобы жителей.",жалоба
Прошу выдать справку о доходах за последний год.,запрос услуги
Как получить льготу на оплату коммунальных услуг?,вопрос
Прошу принять меры — мусор не вывозят уже третью неделю.,жалоба
Где можно получить справку о регистрации по месту жительства?,вопрос
Прошу оформить дубликат свидетельства о браке.,запрос услуги
"Скажите, куда обращаться, если не работает домофон?",вопрос
Необходимо зарегистрировать новое место жительства по адресу квартиры.,запрос услуги
Прошу оформить справку о составе семьи для предоставления в школу.,запрос услуги
"Как пожаловаться, если управляющая компания не отвечает?",вопрос
"В детском саду холодно, батареи еле тёплые, дети мёрзнут.",жалоба
"Было бы удобно, если бы расписание автобусов отображалось онлайн.",предложение
"Было бы удобно, если бы расписание автобусов отображалось онлайн.",предложение
"Постоянно перебои с горячей водой, приходится греть воду вручную.",жалоба
"В подъезде постоянно стоит неприятный запах, похоже, не проводится уборка.",жалоба
"В подъезде постоянно стоит неприятный запах, похоже, не проводится уборка.",жалоба
